lat,lon,state,county,site_name
35.263165,-79.836636,North Carolina,Montgomery,Candor: EPA CASTNet Site
35.281791,-80.851473,North Carolina,Mecklenburg,Friendship Park
35.320105,-97.484099,Oklahoma,Cleveland,MOORE
35.324636,-118.997627,California,Kern,Bakersfield-Airport (Planz)
35.356615,-119.062613,California,Kern,Bakersfield-California
35.385574,-119.015009,California,Kern,Bakersfield-Golden / M St
35.40814,-94.524413,Oklahoma,Sequoyah,
35.434767,-83.442133,North Carolina,Swain,Bryson City
35.450115,-84.596195,Tennessee,McMinn,Athens
35.47292,-97.52709,Oklahoma,Oklahoma,CENTRAL FIRE STATION
35.49453,-120.66617,California,San Luis Obispo,Atascadero
35.498711,-83.310242,North Carolina,Swain,Old High School
35.50307,-97.577981,Oklahoma,Oklahoma,OKC Near Road
35.551868,-80.395039,North Carolina,Rowan,Rockwell
35.59095,-78.4622,North Carolina,Johnston,West Johnston Co.
35.6062,-82.5844,North Carolina,Buncombe,Board Of Ed. Bldg.
35.614131,-97.475083,Oklahoma,Oklahoma,OKC NORTH
35.61975,-106.07968,New Mexico,Santa Fe,3SFA Santa Fe Airport
35.637283,-91.188906,Arkansas,Jackson,NEWPORT
35.641276,-77.360126,North Carolina,Pitt,Pitt Agri. Center
35.642943,-117.715066,California,Kern,Ridgecrest-Ward
